"Freq [GHz]","dB(S(1,1)) []"
3.9,-2.16369391917696
3.91,-2.17656306253242
3.92,-2.18969471392838
3.93,-2.20310458793613
3.94,-2.21680877180243
3.95,-2.23082374541728
3.96,-2.24516640332611
3.97,-2.2598540788751
3.98,-2.27490457058696
3.99,-2.29033617087418
4,-2.30616769720801
4.01,-2.32241852587331
4.02,-2.33910862845349
4.03,-2.35625861120453
4.04,-2.37388975749386
4.05,-2.39202407349874
4.06,-2.41068433737876
4.07,-2.42989415216
4.08,-2.44967800259319
4.09,-2.47006131627603
4.1,-2.49107052935984
4.11,-2.51273315719494
4.12,-2.53507787030612
4.13,-2.55813457613099
4.14,-2.58193450699998
4.15,-2.60651031488754
4.16,-2.63189617352092
4.17,-2.65812788849576
4.18,-2.68524301611849
4.19,-2.71328099177367
4.2,-2.74228326870275
4.21,-2.77229346817887
4.22,-2.80335754217313
4.23,-2.83552394973182
4.24,-2.8688438484239
4.25,-2.90337130237604
4.26,-2.93916350859013
4.27,-2.97628104344049
4.28,-3.01478813147599
4.29,-3.05475293891241
4.3,-3.09624789449567
4.31,-3.13935004075392
4.32,-3.18414141904123
4.33,-3.23070949221748
4.34,-3.27914760931483
4.35,-3.32955551712409
4.36,-3.38203992430635
4.37,-3.4367151244116
4.38,-3.49370368508708
4.39,-3.55313721180421
4.4,-3.61515719565339
4.41,-3.67991595618163
4.42,-3.74757769192115
4.43,-3.8183196532246
4.44,-3.89233345434607
4.45,-3.96982654446014
4.46,-4.05102386058551
4.47,-4.13616968929015
4.48,-4.22552976874407
4.49,-4.31939366833481
4.5,-4.41807748989739
4.51,-4.52192694292599
4.52,-4.63132085630313
4.53,-4.74667520158477
4.54,-4.86844771834481
4.55,-4.99714325133138
4.56,-5.13331993330595
4.57,-5.27759637787071
4.58,-5.43066008528251
4.59,-5.59327731383663
4.6,-5.7663047334882
4.61,-5.95070326195044
4.62,-6.14755459354636
4.63,-6.35808107746272
4.64,-6.58366979890054
4.65,-6.8259019844556
4.66,-7.08658922209095
4.67,-7.36781850141048
4.68,-7.67200881013444
4.69,-8.00198307362903
4.7,-8.36106076285978
4.71,-8.75317879038343
4.72,-9.1830518047209
4.73,-9.65638842274844
4.74,-10.1801885899005
4.75,-10.7631614074151
4.76,-11.4163265839568
4.77,-12.1539040181812
4.78,-12.9946701480274
4.79,-13.9640967643921
4.8,-15.0978470549945
4.81,-16.4476878312789
4.82,-18.0916527166098
4.83,-20.1502919905142
4.84,-22.7969473293296
4.85,-26.0869803324483
4.86,-28.3694653249102
4.87,-26.2186978540498
4.88,-22.6742999864934
4.89,-19.7399616888845
4.9,-17.4170086625226
4.91,-15.530377042041
4.92,-13.9555456488201
4.93,-12.612296099124
4.94,-11.4479153287287
4.95,-10.4264518214046
4.96,-9.52245602879776
4.97,-8.71728829011191
4.98,-7.99686900478855
4.99,-7.35025961904245
5,-6.76873929117227
5.01,-6.24518799462582
5.02,-5.77366539361637
5.03,-5.34911844330735
5.04,-4.9671756826793
5.05,-4.62400101688626
5.06,-4.31618887071081
5.07,-4.04068834762312
5.08,-3.79474779295192
5.09,-3.57587369990751
5.1,-3.3817996590724
5.11,-3.21046230077628
5.12,-3.05998207790854
5.13,-2.92864738711903
5.14,-2.81490099707053
5.15,-2.71732809052868
5.16,-2.63464546662155
5.17,-2.56569161596564
5.18,-2.50941749387703
5.19,-2.46487789039949
5.2,-2.4312233417226
5.21,-2.40769255429775
5.22,-2.39360532694767
5.23,-2.38835596212213
5.24,-2.39140715844495
5.25,-2.40228437506412
5.26,-2.42057065553063
5.27,-2.44590189591799
5.28,-2.47796253918912
5.29,-2.51648167569666
5.3,-2.56122952827028
5.31,-2.61201429960316
5.32,-2.6686793595397
5.33,-2.73110075030393
5.34,-2.79918498859808
5.35,-2.87286714475385
5.36,-2.95210918065654
5.37,-3.03689852991757
5.38,-3.12724690569656
5.39,-3.22318932363084
5.4,-3.32478332950373
5.41,-3.43210842355889
5.42,-3.5452656757588
5.43,-3.66437752880513
5.44,-3.78958778842018
5.45,-3.92106180327457
5.46,-4.05898684009533
5.47,-4.20357266297387
5.48,-4.35505232981139
5.49,-4.5136832233018
5.5,-4.67974833901595
5.51,-4.85355785918964
5.52,-5.03545104797718
5.53,-5.2257985125027
5.54,-5.42500488441008
5.55,-5.6335119892705
5.56,-5.85180258680184
5.57,-6.08040478422535
5.58,-6.31989724935561
5.59,-6.57091538067757
5.6,-6.83415863072224
5.61,-7.11039922924045
5.62,-7.40049261775047
5.63,-7.70538999220869
5.64,-8.02615346313724
5.65,-8.36397449294182
5.66,-8.72019647331712
5.67,-9.09634258341326
5.68,-9.49415045415894
5.69,-9.91561570451661
5.7,-10.3630471860984
5.71,-10.8391378900737
5.72,-11.347057120617
5.73,-11.8905720258938
5.74,-12.4742104093372
5.75,-13.1034827971792
5.76,-13.7851915721269
5.77,-14.5278714730041
5.78,-15.3424344279207
5.79,-16.2431436433285
5.8,-17.249140696901
5.81,-18.3869483852015
5.82,-19.6948010133476
5.83,-21.2306577519314
5.84,-23.0883542353594
5.85,-25.4339635471994
5.86,-28.6000025657706
5.87,-33.3566849172422
5.88,-40.089797407893
5.89,-35.5268923873579
5.9,-30.0113278065276
5.91,-26.5020556342631
5.92,-23.993151941158
5.93,-22.0539480380814
5.94,-20.4794779999574
5.95,-19.1579692609614
5.96,-18.0221227210802
5.97,-17.0283722858301
5.98,-16.1469268538788
5.99,-15.3565245538435
6,-14.6414614922124
